TRANSACTIONS,AMOUNT,,,,,,,
AMAZON,45,,,,,,,
FLIPKART,129,,,,,,,
FUEL,505,,,,,,,
FUEL,695,,,,,,,
FUEL,506,,,,,,,
FUEL,512,,,,,,,
FUEL,505,,,,,,,
FUEL,505,,,,,,,
MISCELLANEOUS,"2030",,,,,,,
MISCELLANEOUS,455,,,,,,,
MISCELLANEOUS,"2700",,,,,,,
PAYTM,153,,,,,,,
PAYTM,67,,,,,,,
PAYTM,49,,,,,,,
PAYTM,123,,,,,,,
PAYTM,126,,,,,,,
PAYTM,155,,,,,,,
PAYTM,74,,,,,,,
PAYTM,93,,,,,,,
SUBSCRIPTIONS,499,,,,,,,
SUBSCRIPTIONS,619,,,,,,,
SUBSCRIPTIONS,999,,,,,,,
SWIGGY,105,,,,,,,
SWIGGY,176,,,,,,,
SWIGGY,105,,,,,,,
SWIGGY,185,,,,,,,
SWIGGY,162,,,,,,,
SWIGGY,109,,,,,,,
SWIGGY,115,,,,,,,
SWIGGY,274,,,,,,,
SWIGGY,109,,,,,,,
SWIGGY,305,,,,,,,
SWIGGY,99,,,,,,,
SWIGGY,122,,,,,,,
SWIGGY,197,,,,,,,
SWIGGY,169,,,,,,,
SWIGGY,132,,,,,,,
SWIGGY,198,,,,,,,
SWIGGY,220,,,,,,,
ZEPTO,212,,,,,,,
